	Type de signalement	Date	Heure	Rue	Ville	lat	lon	Type de vélo	Le vélo était-il stationné dans un lieu clos ?	Le vélo était-il attaché ?
56	Vélo volé	06/08/2020	00:45	Boulevard des Professeurs Sourdille	Nantes	47.234847185175525	 -1.5467984239603267	Vélo à assistance électrique	Non	Oui
57	Vélo volé	06/08/2020	12:00	Place du Bouffay	Nantes	47.21477354191775	 -1.5532044510609901	VTC	Non	Oui
58	Vélo volé	07/08/2018	16:30	Boulevard Général de Gaulle	Nantes	47.206455549455164	 -1.5389133375708828	VTT	Non	Oui
59	Vélo volé	31/07/2020	12:00	Venelle Alexandra David-Neel	Nantes	47.24107439519917	 -1.5162746535419338	VTC	Oui, un local collectif	Oui
60	Vélo volé	07/08/2020		Place de la petite Hollande	Nantes	47.2108781735833	 -1.5602259602000264	Vélo de route	Non	Oui
61	Vélo volé	10/08/2020	15:00	Station Bouffay	Nantes	47.21477354191775	 -1.5532044510609901	VTT	Non	Oui
62	Vélo volé	13/08/2020	09:00	Rue des Hauts-Pavés	Nantes	47.22594200802077	 -1.567995427791828	VTC	Non	Oui
63	Vélo volé	15/08/2020	19:10	Rue de l'Héronnière	Nantes	47.21153396297926	 -1.5625998320030745	VTT	Non	Oui
64	Vélo volé	15/08/2020	14:15	Rue Jenner	Nantes	47.20874251827671	 -1.5763725203686607	Vélo à assistance électrique	Oui, un local collectif	Oui
65	Vélo volé	14/08/2020	09:45	Allé port maillard 	Nantes	47.21479926556352	 -1.5518587645513333	VTT	Non	Oui
66	Vélo volé	15/10/2019		Rue du prinquiau	Nantes	47.212306279160465	 -1.5876525896761449	Vélo à assistance électrique	Non	Non
67	Vélo volé	15/08/2020	20:30	Rue Louis Joxe & Allée de l'île Tabor	Nantes	47.20530939027588	 -1.546298347349461	Vélo de route	Non	Oui
68	Vélo volé	18/08/2020	18:45	Pace du Bouffay	Nantes	47.21477354191775	 -1.5532044510609901	VTT	Non	Oui
69	Vélo volé	21/08/2020	03:00	Rue Pierre Bérégovoy	Saint-Sébastien-sur-Loire	47.20499611209903	 -1.494968655272148	VTC	Oui, un local collectif	Oui
